meter_number,service_category,service_from_date,service_through_date,previous_reading,current_reading,multiplier,consumption_units,power_factor,rate_code,unit_charge,amount
2185925,KWH,"September 30, 2025","December 03, 2025",14485.30,14618.63,1,133.33,,,,
2185925,KW,"September 30, 2025","December 03, 2025",0.00,4.54,1,4.54,,,,
2185925,KVRH,"September 30, 2025","December 03, 2025",1.52,1.53,1,0.01,1.00,,,
,,,Base Service Charge,,,,,,ESMBB,,40.96
,,,Small General Energy,,,,,,ESMBB,0.1257,16.76
,,,Power Factor Penalty,,,,,,ESMBB,,0.49
,,,1st Av S Ph 1 Underground,,,,,,ESMBB,0.0037,0.17
2185927,KWH,"September 30, 2025","December 03, 2025",47137.72,48053.40,1,915.67,,,,
2185927,KW,"September 30, 2025","December 03, 2025",0.00,11.58,1,11.58,,,,
2185927,KVRH,"September 30, 2025","December 03, 2025",20849.52,21001.96,1,152.45,0.98,,,
,,,Base Service Charge,,,,,,ESMBB,,40.96
,,,Small General Energy,,,,,,ESMBB,0.1257,115.10
,,,Power Factor Penalty,,,,,,ESMBB,,3.39
,,,1st Av S Ph 1 Underground,,,,,,ESMBB,0.0037,1.19
,,"September 30, 2025","December 03, 2025",,,1.00,,,ESLIGHT,,26.20
